hgnc_symbol	mim_morbid
ANOS1	308700
ANP32A	NA
ANP32B	NA
ANP32E	NA
ANPEP	NA
ANTXR1	602089
ANTXR1	230740
ANTXR2	228600
ANTXRL	NA
ANXA1	NA
ANXA10	NA
ANXA11	NA
ANXA13	NA
ANXA2	NA
ANXA3	NA
ANXA4	NA
ANXA5	614391
ANXA6	NA
ANXA7	NA
ANXA8	NA
ANXA8L1	NA
ANXA9	NA
AOAH	NA
AOC1	NA
AOC2	NA
AOC3	NA
AOX1	NA
AP1B1	NA
AP1G1	NA
AP1G2	NA
AP1M1	NA
AP1M2	NA
AP1S1	609313
AP1S2	NA
AP1S3	616106
AP2A1	NA
AP2A2	NA
AP2B1	NA
AP2M1	NA
AP2S1	600740
AP3B1	608233
AP3B2	NA
AP3D1	617050
AP3M1	NA
AP3S1	NA
AP3S2	NA
AP4B1	614066
AP4E1	613744
AP4E1	184450
AP4M1	612936
AP4S1	614067
AP5B1	NA
AP5Z1	613647
APAF1	NA
APBA1	NA
APBA2	NA
APBA3	NA
APBB1	NA
APBB1IP	NA
APBB2	104300
APBB3	NA
APC	NA
APC2	NA
APCDD1	605389
APCS	NA
APEH	NA
APEX1	NA
APEX2	NA
APH1A	NA
APH1B	NA
API5	NA
APIP	NA
APITD1-CORT	NA
APLF	NA
APLN	NA
APLNR	NA
APLP1	NA
APLP2	NA
APMAP	NA
APOA1	604091
APOA1	105200
APOA2	143890
APOA4	NA
APOA5	145750
APOA5	144650
APOB	615558
APOB	144010
APOBEC1	NA
APOBEC2	NA
APOBEC3A	NA
APOBEC3B	NA
APOBEC3C	NA
APOBEC3D	NA
APOBEC3F	NA
APOBEC3G	NA
APOBEC3H	NA
APOBEC4	NA
APOBR	NA
APOC1	NA
APOC2	NA
APOC3	614028
APOC4	NA
APOC4-APOC2	207750
APOD	NA
APOE	NA
APOF	NA
APOH	NA
APOL1	612551
APOL2	181500
APOL3	NA
APOL4	181500
APOL6	NA
APOLD1	NA
APOM	NA
APOO	NA
APP	605714
APP	104300
APPBP2	NA
APPL1	616511
APPL2	NA
APRT	614723
APTX	208920
AQP1	110450
AQP10	NA
AQP11	NA
AQP12A	NA
AQP12B	NA
AQP2	125800
AQP3	607457
AQP4	NA
AQP5	NA
AQP6	NA
AQP7	614411
AQP8	NA
AQP9	NA
AQR	NA
AR	313200
AR	312300
AR	300633
AR	300068
AR	176807
ARAF	NA
ARAP1	NA
ARAP2	NA
ARAP3	NA
ARC	NA
ARCN1	NA
AREG	NA
AREL1	NA
ARF1	NA
ARF3	NA
ARF4	NA
ARF5	NA
ARF6	NA
ARFGAP1	NA
ARFGAP2	NA
ARFGAP3	NA
ARFGEF1	NA
ARFGEF2	608097
ARFGEF3	NA
ARFIP1	NA
ARFIP2	NA
ARFRP1	NA
ARG1	207800
ARG2	NA
ARGFX	NA
ARGLU1	NA
ARHGAP1	NA
ARHGAP10	NA
ARHGAP11A	NA
ARHGAP11B	NA
ARHGAP12	NA
ARHGAP15	NA
ARHGAP17	NA
ARHGAP18	NA
ARHGAP19	NA
ARHGAP20	NA
ARHGAP21	NA
ARHGAP22	NA
ARHGAP23	NA
ARHGAP24	NA
ARHGAP25	NA
ARHGAP26	607785
ARHGAP27	NA
ARHGAP28	NA
ARHGAP29	NA
ARHGAP30	NA
ARHGAP31	100300
ARHGAP32	NA
ARHGAP33	NA
ARHGAP35	NA
ARHGAP36	NA
ARHGAP39	NA
ARHGAP4	NA
ARHGAP42	NA
ARHGAP44	NA
ARHGAP45	NA
ARHGAP5	NA
ARHGAP6	NA
ARHGAP8	NA
ARHGAP9	NA
ARHGDIA	615244
ARHGDIB	NA
ARHGDIG	NA
ARHGEF1	NA
ARHGEF10	NA
ARHGEF10L	NA
ARHGEF11	NA
ARHGEF12	NA
ARHGEF15	NA
ARHGEF16	NA
ARHGEF17	NA
ARHGEF18	NA
